"# Bill of Materials (BOM)","","","","","",""
"S.N","Component","Qty","Specification","Price","Bought From","Notes"
"---","-----------","-----","----------------","-------","----------","-------"
"1","ESP32 Devkit V1","1","30-pin, WiFi/Bluetooth dev board","Nrp. 1400","Gadgets Hub","Main controller"
"2","L298N Motor Driver","1","Dual H-Bridge, 2A per channel","Nrs. 800","Gadgets Hub","Or L293D as substitute"
"3","TT Motor (BO Motor)","4","3-6V DC gear motor","Rs.800(200 per piece)","Gadgets Hub","One per wheel"
"4","Wheels","4","Compatible with TT motor shaft","Rs. 400","Gadgets Hub",""
"5","Chassis","1","I used the self made local wood plank","Rs. 0","Self Made",""
"6","18650 Li-ion Battery","3","3.7V, 2000mAh+","Rs. 350","Gadgets Hub","Powers motors"
"7","Battery Holder","1","3 cell holder","Rs. 200","Gadgets Hub","Matches battery count"
"8","Jumper Wires","~15","Male-to-male / male-to-female","Rs. 0","I already had it","For all connections"
"9","Switch","1","On/off toggle","Rs. 20","Gadgets Hub","Main power switch"
